Recorded data from MZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
$ˇˇˇãC;¬ï¿ã–ãûÿˇˇˇ∂4#¬ãû∞ˇˇˇàãû∞ˇˇˇ∂Cãû$ˇˇˇàCuãûƒ˛ˇˇçPâÛË5ÚˇˇÉƒ∏;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Timestamp;Temperatyre1;Temperatyre2;Temperatyre3;Temperatyre4;Temperatyre5;Temperatyre6;Temperatyre7;Temperatyre8;Temperatyre9;Temperatyre10;Temperatyre11;Temperatyre12;Temperatyre13;Temperatyre14;Temperatyre15;Temperatyre16;Temperatyre17;Temperatyre18;Temperatyre19;Temperatyre20;Temperatyre21;Temperatyre22;Temperatyre23;Temperatyre24;Temperatyre25;Temperatyre26;Temperatyre27;Temperatyre28;Temperatyre29;Temperatyre30;Temperatyre31;Temperatyre32;Temperatyre33
2018.09.19_13:00:00;30,5;-24,96;-24,97;-25;-24,98;-24,99;-25;-25;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,96;-25,01;0;-25,04;-25;-25,02;0
2018.09.19_13:00:01;30,5;-25,03;-24,98;-25;-24,99;-25;-24,95;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,01;-25;-25;1
2018.09.19_13:00:02;30,5;-24,99;-24,98;-25,02;-25,02;-25;-24,96;-24,99;0;0;0;0;0;0;0;0;0;0;-24,98;0;0;0;0;0;0;0;-24,98;-24,98;0;-25,02;-25;-25,02;0
2018.09.19_13:00:03;30,5;-25;-25,01;-25;-25;-24,98;-24,98;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,99;0;-25,01;-25;-25;0
2018.09.19_13:00:04;30,5;-25;-25,02;-25;-25,02;-24,99;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-25,02;0;0;0;0;0;0;0;-24,99;-24,98;0;-25,01;-24,99;-24,99;1
2018.09.19_13:00:05;30,5;-25,02;-24,99;-25,02;-25;-25;-25,03;-24,98;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-24,99;-24,99;1
2018.09.19_13:00:06;30,5;-25;-24,98;-25,02;-25;-24,99;-24,99;-25;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-25,02;-24,99;0;-25,01;-25;-25;1
2018.09.19_13:00:07;30,5;-25,02;-25,02;-25;-24,99;-25;-25;-24,99;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,98;-24,99;0;-25,01;-25;-24,99;1
2018.09.19_13:00:08;30,5;-25;-25,01;-25,03;-25,02;-25,02;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,99;-24,97;0;-25,01;-24,96;-25;1
2018.09.19_13:00:09;30,5;-25;-25,01;-25;-25;-25,02;-24,96;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,01;-25;-25;1
2018.09.19_13:00:10;30,5;-24,99;-25,01;-25;-25,02;-25,02;-24,99;-24,99;0;0;0;0;0;0;0;0;0;0;-25,01;0;0;0;0;0;0;0;-24,97;-24,96;0;-25,01;-25;-25;1
2018.09.19_13:00:11;30,5;-25;-25,01;-25;-25;-24,99;-24,98;-24,98;0;0;0;0;0;0;0;0;0;0;-24,99;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,02;-24,99;-25,02;1
2018.09.19_13:00:12;30,5;-25;-25,01;-25;-25;-25;-24,99;-25,02;0;0;0;0;0;0;0;0;0;0;-24,97;0;0;0;0;0;0;0;-24,97;-24,99;0;-25,02;-25;-24,99;1
